"Run Date","Master BOL","House BOL","Voyage #","Bill Type","Carrier Code","IMO #","Vessel Name","Arrival Date","US Port of Unlading","US Port of Destination","Foreign Port of Lading","Foreign Port of Destination","Place of Receipt",Quantity,"Weight (kg)","Type of Service",Shipper,"Shipper Address",Consignee,"Consignee Address","Notify Party 1","Notify Party 1 Address","Notify Party 2","Notify Party 2 Address",Commodity,"Number of Containers","Marks & Numbers","Container Numbers","Seal Numbers"
2024-10-07,ONEYSELEK0049900,,042E,"Master Bill",ONEY,,"YM WELCOME",2024-10-06,"LONG BEACH, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"41 CTN","18,309","Container Yard","NEW WORLD SHIPPING CO., LTD.","41, CHEONGGYECHEON-RO, JONGNO-GU, S EOUL 03188 KR","USMX TRANSPORT, INC","1455 E. TROPICANA AVE. #275 LAS VEG AS NV 89119 US","USMX TRANSPORT, INC","1455 E. TROPICANA AVE. #275 LAS VEG AS NV 89119 US",,,"BRASS ROD",1,"DAECHANG LLOYDS, INC. LONG BEACH (L.A.)CA P.|NO : W/C NO : FORM : SIZE : NET : LBS GROS|: LBS MADE IN KOREA",KKTU8134143,KRAQ36920
2024-10-07,ONEYSELEK0049900,ONEYSELEK0049A01,042E,"House Bill",ONEY,,"YM WELCOME",2024-10-06,"LONG BEACH, CALIFORNIA",,"PUSAN SOUTH KOREA",,PUSAN,"41 CTN","18,309","Container Yard","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG-SI, SIHEUNG 03188 KR","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE, IRVINE CA 92604 US","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE, IRVINE CA 92604 US",,,"BRASS ROD",1,"DAECHANG LLOYDS, INC. LONG BEACH (L.A.)CA P.|NO : W/C NO : FORM : SIZE : NET : LBS GROS|: LBS MADE IN KOREA",KKTU8134143,KRAQ36920
2024-10-01,MEDUOE497823,,436N,"Master BOL w/in-bond",MEDU,9320257,"GEORG MAERSK",2024-09-30,"LOS ANGELES, CALIFORNIA","CHICAGO, ILLINOIS, INCLUDING O HARE INTERNATIONAL AIRPORT","YANTIAN CHINA (MAINLAND)",,HAIPHONG,"27 PKG","18,127","Container Yard","NINGBO PORT SOUTHEAST LOGISTICS GRO","5F NO.258 SEL BLDG. CHANGLE RD EAST NINGBO 33 CHINA","FLEXCARGO USA, INC.","444 W. OCEAN BLVD, SUITE 800 LONG BEACH CA 90802 UNITED STATES","FLEXCARGO USA, INC.","444 W. OCEAN BLVD, SUITE 800 LONG BEACH CA 90802 UNITED STATES",,,"FREIGHT PREPAID TIN BRONZE ROD BRASS ROD HS CODE : 740721/740729 G.W: 399 62.52 LBS HBL:YNSEL24004 78 SCAC CODE: NPSC ACI C ODE: 8FNQ AS SHIPPER D ECLARED: THIS SHIPME NT C ONTAINS NO SOLID WOOD PACK ING MATERIA L",1,"US003223 54007208 35-R04 5400726129 -R04 5400|718614-R 04|SAME",MEDU6657309,FX33333993
2024-10-01,MEDUOE497823,NPSCYNSEL2400478,436N,"House Bill",NPSC,9320257,"GEORG MAERSK",2024-09-30,"LOS ANGELES, CALIFORNIA",,"YANTIAN CHINA (MAINLAND)",,YANTIAN,"27 PKG","18,127","Container Yard",,,,,,,,,"TIN BRONZE ROD BRASS ROD",1,"US003223 5400720835-R04 5400726129-R04 540|0718614-R04",MEDU6657309,FX33333993
2024-10-01,HDMUSELM29557500,,0003E,"Master Bill",HDMU,9944493,"HMM EMERALD",2024-09-28,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,"BUSAN, KOREA","28 CTN","12,611","Pier to Pier","NEW WORLD SHIPPING CO.,LTD","#41 CHEONGGYECHEON-RO, JONGNO-GU, S EOUL, KOREA 03188 (YP BLDG., 11F) T EL 82-2-774-5811","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275, LAS VE GAS, NV 89119 USA T: F:","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275, LAS VE GAS, NV 89119 USA T: F:",,,"BRASS ROD BRASS BAR HIGH SILICON BRONZE ROUND BAR",1,"NO MARKS",GCXU2059973,24H0369250
2024-10-01,HDMUSELM29557500,HDMUSELM295575A1,0003E,"House Bill",HDMU,9944493,"HMM EMERALD",2024-09-28,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,"BUSAN, KOREA","15 CTN","6,056","Pier to Pier","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG-SI.K YUNGGI-DO, KOREA","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE , CA 92604","DAECHANG LLOYDS,INC.","4482 BARRANCA PKWY, STE 232 IRVINE , CA 92604",,,"BRASS ROD",1,"NO MARKS",GCXU2059973,24H0369250
2024-10-01,HDMUSELM82802300,,0003E,"Master Bill",HDMU,9944493,"HMM EMERALD",2024-09-28,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,"BUSAN, KOREA","34 CTN","15,299","Pier to Pier","NEW WORLD SHIPPING CO.,LTD","#41 CHEONGGYECHEON-RO, JONGNO-GU, S EOUL, KOREA 03188 (YP BLDG., 11F) T EL 82-2-774-5811","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275, LAS VE GAS, NV 89119 USA T: F:","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275, LAS VE GAS, NV 89119 USA T: F:",,,"BRASS ROD BRASS BAR",1,"NO MARKS",TTNU1195991,24H0369456
2024-10-01,HDMUSELM82802300,HDMUSELM828023A1,0003E,"House Bill",HDMU,9944493,"HMM EMERALD",2024-09-28,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,"BUSAN, KOREA","29 CTN","12,678","Pier to Pier","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG-SI.K YUNGGI-DO, KOREA","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE , CA 92604","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE , CA 92604",,,"BRASS ROD",1,"NO MARKS",TTNU1195991,24H0369456
2024-10-01,HDMUSELM85213600,,0003E,"Master Bill",HDMU,9944493,"HMM EMERALD",2024-09-28,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,"BUSAN, KOREA","33 CTN","14,619","Pier to Pier","NEW WORLD SHIPPING CO.,LTD","#41 CHEONGGYECHEON-RO, JONGNO-GU, S EOUL, KOREA 03188 (YP BLDG., 11F) T EL 82-2-774-5811","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275, LAS VE GAS, NV 89119 USA T: F:","USMX TRANSPORT, INC.","1455 E. TROPICANA AVE. #275, LAS VE GAS, NV 89119 USA T: F:",,,"BRASS ROD",1,"NO MARKS",GLDU9933461,24H0365197
2024-10-01,HDMUSELM85213600,HDMUSELM852136A1,0003E,"House Bill",HDMU,9944493,"HMM EMERALD",2024-09-28,"LOS ANGELES, CALIFORNIA",,"PUSAN SOUTH KOREA",,"BUSAN, KOREA","33 CTN","14,619","Pier to Pier","DAECHANG CO., LTD.","1292-4 JEONGWANG-DONG, SIHEUNG-SI, KYUNGGI-DO, KOREA","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE, CA 92604","DAECHANG LLOYDS, INC.","4482 BARRANCA PKWY, STE 232 IRVINE, CA 92604",,,"BRASS ROD",1,"NO MARKS",GLDU9933461,24H0365197
